Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
AA-10315,185,11,5563.56,2,3,5,235,Others/Standard
AA-10375,20,15,1056.39,5,4,2,542,Loyal Customers
AA-10480,260,12,1790.5120000000002,1,3,3,133,Lost / Hibernating
AA-10645,56,18,5086.9349999999995,3,4,5,345,Potential Loyalist
AB-10015,416,6,886.156,1,1,1,111,Lost / Hibernating
AB-10060,55,18,7755.62,3,5,5,355,Potential Loyalist
AB-10105,42,20,14473.570999999998,4,5,5,455,VIP / Champions
AB-10150,42,12,966.71,4,3,2,432,Loyal Customers
AB-10165,26,14,1113.838,5,4,2,542,Loyal Customers
AB-10255,167,14,914.5319999999999,2,4,1,241,At Risk
AB-10600,51,8,1515.862,4,2,2,422,Loyal Customers
AC-10420,233,5,925.8,1,1,1,111,Lost / Hibernating
AC-10450,12,9,5527.846,5,2,5,525,Loyal Customers
AC-10615,7,18,2537.6859999999997,5,5,3,553,Loyal Customers
AC-10660,283,6,657.316,1,1,1,111,Lost / Hibernating
AD-10180,30,12,6106.88,4,3,5,435,Loyal Customers
AF-10870,42,16,2052.908,4,4,3,443,Loyal Customers
AF-10885,416,7,861.565,1,1,1,111,Lost / Hibernating
AG-10270,279,14,2582.898,1,4,3,143,At Risk
AG-10300,119,5,367.548,2,1,1,211,Others/Standard
AG-10330,9,9,660.972,5,2,1,521,Loyal Customers
AG-10390,115,8,200.945,2,2,1,221,Others/Standard
AG-10495,79,21,2356.855,3,5,3,353,Potential Loyalist
AG-10525,846,9,1455.038,1,2,2,122,Lost / Hibernating
AG-10675,98,15,3489.0396000000005,3,4,4,344,Potential Loyalist
AG-10765,78,5,170.584,3,1,1,311,Others/Standard
AG-10900,97,21,4510.797,3,5,5,355,Potential Loyalist
AH-10030,13,11,1744.7,5,3,3,533,Loyal Customers
AH-10075,35,20,3250.337,4,5,4,454,VIP / Champions
AH-10120,61,16,1735.5140000000001,3,4,2,342,Potential Loyalist
AH-10195,56,8,1587.452,3,2,2,322,Others/Standard
AH-10210,7,13,4805.344,5,3,5,535,Loyal Customers
AH-10465,231,8,2495.3916,1,2,3,123,Lost / Hibernating
AH-10585,22,5,738.504,5,1,1,511,Others/Standard
AH-10690,411,23,7888.294,1,5,5,155,At Risk
AI-10855,14,18,4375.786,5,5,5,555,VIP / Champions
AJ-10780,76,15,4867.344,3,4,5,345,Potential Loyalist
AJ-10795,167,21,4501.391,2,5,5,255,At Risk
AJ-10945,86,10,1839.24,3,2,3,323,Others/Standard
AJ-10960,75,5,629.2479999999999,3,1,1,311,Others/Standard
AM-10360,29,12,814.012,4,3,1,431,Loyal Customers
AM-10705,163,22,5664.022,2,5,5,255,At Risk
AO-10810,502,1,161.28,1,1,1,111,Lost / Hibernating
AP-10720,42,19,1638.554,4,5,2,452,Loyal Customers
AP-10915,99,31,3323.556,3,5,4,354,Potential Loyalist
AR-10345,112,5,1055.694,2,1,2,212,Others/Standard
AR-10405,126,7,2236.128,2,1,3,213,Others/Standard
AR-10510,15,7,264.86400000000003,5,1,1,511,Others/Standard
AR-10540,7,9,6608.448,5,2,5,525,Loyal Customers
AR-10570,535,2,88.15,1,1,1,111,Lost / Hibernating
AR-10825,59,13,4523.336,3,3,5,335,Potential Loyalist
AS-10045,89,10,3050.692,3,2,4,324,Others/Standard
AS-10090,29,25,3255.31,4,5,4,454,VIP / Champions
AS-10135,42,3,58.82,4,1,1,411,Others/Standard
AS-10225,23,13,4260.784,5,3,4,534,Loyal Customers
AS-10240,193,13,584.6080000000001,2,3,1,231,Others/Standard
AS-10285,20,8,3214.236,5,2,4,524,Loyal Customers
AS-10630,93,12,833.398,3,3,1,331,Potential Loyalist
AT-10435,22,9,1171.814,5,2,2,522,Loyal Customers
AT-10735,14,16,3831.864,5,4,4,544,VIP / Champions
AW-10840,21,8,649.376,5,2,1,521,Loyal Customers
AW-10930,47,16,2852.968,4,4,4,444,VIP / Champions
AY-10555,15,10,497.014,5,2,1,521,Loyal Customers
AZ-10750,161,12,1622.0179999999998,2,3,2,232,Others/Standard
BB-10990,106,8,744.3399999999999,2,2,1,221,Others/Standard
BB-11545,29,20,6765.728,4,5,5,455,VIP / Champions
BC-11125,203,18,2933.676,2,5,4,254,At Risk
BD-11320,34,19,5718.521,4,5,5,455,VIP / Champions
BD-11500,36,10,4411.2429999999995,4,2,5,425,Loyal Customers
BD-11560,279,4,320.54,1,1,1,111,Lost / Hibernating
BD-11605,98,20,3288.471,3,5,4,354,Potential Loyalist
BD-11620,70,8,1538.11,3,2,2,322,Others/Standard
BD-11635,10,5,582.646,5,1,1,511,Others/Standard
BD-11725,94,10,1526.5,3,2,2,322,Others/Standard
BD-11770,328,10,658.466,1,2,1,121,Lost / Hibernating
BE-11335,120,9,4204.676,2,2,4,224,Others/Standard
BE-11410,99,5,2261.438,3,1,3,313,Others/Standard
BE-11455,255,13,1727.652,1,3,2,132,Lost / Hibernating
BF-10975,92,13,599.798,3,3,1,331,Potential Loyalist
BF-11005,40,10,1333.88,4,2,2,422,Loyal Customers
BF-11020,75,21,2888.506,3,5,4,354,Potential Loyalist
BF-11080,26,6,272.95,5,1,1,511,Others/Standard
BF-11170,17,27,5907.972,5,5,5,555,VIP / Champions
BF-11215,66,8,1585.162,3,2,2,322,Others/Standard
BF-11275,58,4,791.9899999999999,3,1,1,311,Others/Standard
BG-11035,29,12,2798.948,4,3,4,434,Loyal Customers
BG-11695,37,8,1874.172,4,2,3,423,Loyal Customers
BG-11740,58,7,1006.356,3,1,2,312,Others/Standard
BH-11710,24,24,6255.351,5,5,5,555,VIP / Champions
BK-11260,78,16,659.1379999999999,3,4,1,341,Potential Loyalist
BM-11140,308,16,11789.63,1,4,5,145,At Risk
BM-11575,101,10,808.162,3,2,1,321,Others/Standard
BM-11650,34,29,7294.185,4,5,5,455,VIP / Champions
BM-11785,219,14,1338.842,2,4,2,242,At Risk
BN-11470,25,6,265.296,5,1,1,511,Others/Standard
BN-11515,10,17,1459.344,5,4,2,542,Loyal Customers
BO-11350,138,12,2682.728,2,3,3,233,Others/Standard
BO-11425,76,2,130.83,3,1,1,311,Others/Standard
BP-11050,84,7,983.42,3,1,2,312,Others/Standard
BP-11095,18,20,2442.044,5,5,3,553,Loyal Customers
BP-11155,90,11,1697.8609999999999,3,3,2,332,Potential Loyalist
BP-11185,2,18,3675.861,5,5,4,554,VIP / Champions
BP-11230,40,6,1181.49,4,1,2,412,Others/Standard
BP-11290,13,16,2475.157,5,4,3,543,Loyal Customers
BS-11365,559,9,10501.653,1,2,5,125,Lost / Hibernating
BS-11380,29,13,3887.834,4,3,4,434,Loyal Customers
BS-11590,36,10,2454.928,4,2,3,423,Loyal Customers
BS-11665,583,11,3288.1099999999997,1,3,4,134,Lost / Hibernating
BS-11755,2,14,2562.382,5,4,3,543,Loyal Customers
BS-11800,266,8,949.4300000000001,1,2,1,121,Lost / Hibernating
BT-11305,337,9,2567.656,1,2,3,123,Lost / Hibernating
BT-11395,303,10,2186.6130000000003,1,2,3,123,Lost / Hibernating
BT-11440,561,7,603.876,1,1,1,111,Lost / Hibernating
BT-11485,660,3,415.19599999999997,1,1,1,111,Lost / Hibernating
BT-11530,92,10,2684.4919999999997,3,2,3,323,Others/Standard
BT-11680,21,20,3196.752,5,5,4,554,VIP / Champions
BV-11245,335,14,1523.2730000000001,1,4,2,142,At Risk
BW-11065,213,3,385.516,2,1,1,211,Others/Standard
BW-11110,122,17,4750.358,2,4,5,245,At Risk
BW-11200,204,10,1738.406,2,2,2,222,Others/Standard
CA-11965,97,10,3789.7228,3,2,4,324,Others/Standard
CA-12055,402,10,1679.7240000000002,1,2,2,122,Lost / Hibernating
CA-12265,57,17,2648.2872,3,4,3,343,Potential Loyalist
CA-12310,14,11,1421.954,5,3,2,532,Loyal Customers
CA-12775,121,17,3041.566,2,4,4,244,At Risk
CB-12025,48,26,6076.139,4,5,5,455,VIP / Champions
CB-12415,27,12,1949.2,5,3,3,533,Loyal Customers
CB-12535,198,19,4246.4555,2,5,4,254,At Risk
CC-12100,458,13,1770.945,1,3,3,133,Lost / Hibernating
CC-12145,107,11,2471.65,2,3,3,233,Others/Standard
CC-12220,21,22,3913.418,5,5,4,554,VIP / Champions
CC-12370,44,11,12129.072000000002,4,3,5,435,Loyal Customers
CC-12430,1,19,2870.05,5,5,4,554,VIP / Champions
CC-12475,40,13,1659.438,4,3,2,432,Loyal Customers
CC-12550,28,4,113.832,4,1,1,411,Others/Standard
CC-12610,35,12,2540.631,4,3,3,433,Loyal Customers
CC-12670,30,14,2269.7015,4,4,3,443,Loyal Customers
CC-12685,800,12,2854.1150000000002,1,3,4,134,Lost / Hibernating
CD-11920,41,9,2033.968,4,2,3,423,Loyal Customers
CD-11980,55,6,639.766,3,1,1,311,Others/Standard
CD-12280,43,13,1205.584,4,3,2,432,Loyal Customers
CD-12790,400,15,1860.732,1,4,3,143,At Risk
CG-12040,50,9,904.4680000000001,4,2,1,421,Loyal Customers
CG-12520,339,5,1148.7800000000002,1,1,2,112,Lost / Hibernating
CH-12070,692,4,1537.236,1,1,2,112,Lost / Hibernating
CJ-11875,366,1,16.52,1,1,1,111,Lost / Hibernating
CJ-12010,190,20,11164.974,2,5,5,255,At Risk
CK-12205,40,32,3154.855,4,5,4,454,VIP / Champions
CK-12325,121,12,2945.321,2,3,4,234,Others/Standard
CK-12595,44,25,2372.75,4,5,3,453,Loyal Customers
CK-12760,83,14,1582.109,3,4,2,342,Potential Loyalist
CL-11890,107,7,1262.0140000000001,2,1,2,212,Others/Standard
CL-12565,285,28,10880.546,1,5,5,155,At Risk
CL-12700,106,8,2353.586,2,2,3,223,Others/Standard
CM-11815,132,10,1673.888,2,2,2,222,Others/Standard
CM-11935,709,4,565.392,1,1,1,111,Lost / Hibernating
CM-12115,9,7,1661.6100000000001,5,1,2,512,Others/Standard
CM-12160,27,7,2533.314,5,1,3,513,Others/Standard
CM-12190,9,7,1475.144,5,1,2,512,Others/Standard
CM-12235,386,8,2305.712,1,2,3,123,Lost / Hibernating
CM-12385,38,10,8954.019999999999,4,2,5,425,Loyal Customers
CM-12445,437,9,287.99,1,2,1,121,Lost / Hibernating
CM-12655,28,10,6339.5576,4,2,5,425,Loyal Customers
CM-12715,1036,13,3984.4524,1,3,4,134,Lost / Hibernating
CP-12085,83,14,5402.254,3,4,5,345,Potential Loyalist
CP-12340,161,15,5888.275,2,4,5,245,At Risk
CR-12580,58,6,2148.852,3,1,3,313,Others/Standard
CR-12625,471,4,475.9,1,1,1,111,Lost / Hibernating
CR-12730,79,6,1600.55,3,1,2,312,Others/Standard
CR-12820,86,7,1397.8724,3,1,2,312,Others/Standard
CS-11845,92,8,1278.954,3,2,2,322,Others/Standard
CS-11860,163,7,537.632,2,1,1,211,Others/Standard
CS-11950,26,22,3036.547,5,5,4,554,VIP / Champions
CS-12130,490,7,884.64,1,1,1,111,Lost / Hibernating
CS-12175,233,8,844.4580000000001,1,2,1,121,Lost / Hibernating
CS-12250,27,28,2754.216,5,5,4,554,VIP / Champions
CS-12355,7,22,3202.1620000000003,5,5,4,554,VIP / Champions
CS-12400,3,14,3651.8585000000003,5,4,4,544,VIP / Champions
CS-12460,28,6,550.644,4,1,1,411,Others/Standard
CS-12490,425,9,1077.2285,1,2,2,122,Lost / Hibernating
CS-12505,59,9,5690.054999999999,3,2,5,325,Others/Standard
CT-11995,97,18,3241.898,3,5,4,354,Potential Loyalist
CV-12295,255,13,2830.6279999999997,1,3,4,134,Lost / Hibernating
CV-12805,6,19,2370.3136,5,5,3,553,Loyal Customers
CW-11905,23,11,1136.592,5,3,2,532,Loyal Customers
CY-12745,61,11,2900.026,3,3,4,334,Potential Loyalist
Co-12640,550,8,1300.076,1,2,2,122,Lost / Hibernating
DA-13450,353,8,156.76,1,2,1,121,Lost / Hibernating
DB-12910,22,12,2171.599,5,3,3,533,Loyal Customers
DB-12970,242,14,2839.2272,1,4,4,144,At Risk
DB-13060,17,13,4531.646,5,3,5,535,Loyal Customers
DB-13120,49,14,2973.094,4,4,4,444,VIP / Champions
DB-13210,10,21,2332.577,5,5,3,553,Loyal Customers
DB-13270,54,13,4655.897,4,3,5,435,Loyal Customers
DB-13360,265,6,1081.466,1,1,2,112,Lost / Hibernating
DB-13405,188,14,1711.692,2,4,2,242,At Risk
DB-13555,108,14,3908.8028,2,4,4,244,At Risk
DB-13615,34,11,1989.05,4,3,3,433,Loyal Customers
DB-13660,13,10,1155.202,5,2,2,522,Loyal Customers
DC-12850,38,18,3336.168,4,5,4,454,VIP / Champions
DC-13285,24,7,1174.618,5,1,2,512,Others/Standard
DD-13570,42,9,269.542,4,2,1,421,Loyal Customers
DE-13255,720,9,2550.874,1,2,3,123,Lost / Hibernating
DF-13135,701,6,2390.534,1,1,3,113,Lost / Hibernating
DG-13300,33,8,3195.818,4,2,4,424,Loyal Customers
DH-13075,278,23,4932.872,1,5,5,155,At Risk
DH-13675,777,11,1043.096,1,3,2,132,Lost / Hibernating
DJ-13420,638,5,2012.52,1,1,3,113,Lost / Hibernating
DJ-13510,49,13,2501.6879999999996,4,3,3,433,Loyal Customers
DJ-13630,13,8,3356.398,5,2,4,524,Loyal Customers
DK-12835,22,27,3256.48,5,5,4,554,VIP / Champions
DK-12895,46,15,4282.176,4,4,4,444,VIP / Champions
DK-12985,8,8,1687.04,5,2,2,522,Loyal Customers
DK-13090,43,13,2650.557,4,3,3,433,Loyal Customers
DK-13150,11,5,797.832,5,1,1,511,Others/Standard
DK-13225,11,19,4802.394,5,5,5,555,VIP / Champions
DK-13375,20,23,3318.486,5,5,4,554,VIP / Champions
DL-12865,101,14,1503.112,3,4,2,342,Potential Loyalist
DL-12925,58,14,3272.2,3,4,4,344,Potential Loyalist
DL-13315,23,17,1458.258,5,4,2,542,Loyal Customers
DL-13330,58,8,585.02,3,2,1,321,Others/Standard
DL-13495,77,12,3539.322,3,3,4,334,Potential Loyalist
DM-12955,115,9,1322.034,2,2,2,222,Others/Standard
DM-13015,58,20,6345.103,3,5,5,355,Potential Loyalist
DM-13345,23,13,4074.4719999999998,5,3,4,534,Loyal Customers
DM-13525,482,10,1376.792,1,2,2,122,Lost / Hibernating
DN-13690,218,11,2139.79,2,3,3,233,Others/Standard
DO-13435,134,13,1300.0315,2,3,2,232,Others/Standard
DO-13645,27,11,1267.316,5,3,2,532,Loyal Customers
DP-13000,127,17,1050.636,2,4,2,242,At Risk
DP-13105,7,14,2215.002,5,4,3,543,Loyal Customers
DP-13165,813,4,1058.616,1,1,2,112,Lost / Hibernating
DP-13390,359,14,5480.723999999999,1,4,5,145,At Risk
DR-12880,4,24,6528.034000000001,5,5,5,555,VIP / Champions
DR-12940,51,13,8350.868,4,3,5,435,Loyal Customers
DS-13030,94,19,1762.213,3,5,3,353,Potential Loyalist
DS-13180,24,20,2881.8128,5,5,4,554,VIP / Champions
DV-13045,20,9,1119.483,5,2,2,522,Loyal Customers
DV-13465,30,15,3341.587,4,4,4,444,VIP / Champions
DW-13195,70,9,1080.751,3,2,2,322,Others/Standard
DW-13480,218,11,5271.628,2,3,5,235,Others/Standard
DW-13540,99,9,344.08,3,2,1,321,Others/Standard
DW-13585,243,10,1204.854,1,2,2,122,Lost / Hibernating
Dl-13600,120,6,755.602,2,1,1,211,Others/Standard
Dp-13240,85,29,7198.7609999999995,3,5,5,355,Potential Loyalist
EA-14035,153,25,2846.705,2,5,4,254,At Risk
EB-13705,49,12,3644.978,4,3,4,434,Loyal Customers
EB-13750,36,20,3236.314,4,5,4,454,VIP / Champions
EB-13840,91,8,4358.128,3,2,5,325,Others/Standard
EB-13870,101,11,2767.219,3,3,4,334,Potential Loyalist
EB-13930,162,7,944.6000000000001,2,1,1,211,Others/Standard
EB-13975,1,6,1643.255,5,1,2,512,Others/Standard
EB-14110,114,11,3071.126,2,3,4,234,Others/Standard
EB-14170,83,7,1186.326,3,1,2,312,Others/Standard
EC-14050,54,7,461.914,4,1,1,411,Others/Standard
ED-13885,136,14,3484.92,2,4,4,244,At Risk
EG-13900,23,9,1832.02,5,2,3,523,Loyal Customers
EH-13765,136,32,10310.880000000001,2,5,5,255,At Risk
EH-13945,218,17,684.1709999999999,2,4,1,241,At Risk
EH-13990,406,8,825.9499999999999,1,2,1,121,Lost / Hibernating
EH-14005,3,11,1219.53,5,3,2,532,Loyal Customers
EH-14125,153,18,3082.653,2,5,4,254,At Risk
EH-14185,106,8,923.884,2,2,1,221,Others/Standard
EJ-13720,303,8,2162.174,1,2,3,123,Lost / Hibernating
EJ-14155,58,8,2656.691,3,2,3,323,Others/Standard
EK-13795,45,4,1303.478,4,1,2,412,Others/Standard
EL-13735,78,2,124.28,3,1,1,311,Others/Standard
EM-13810,133,7,2567.0099999999998,2,1,3,213,Others/Standard
EM-13825,56,16,2339.598,3,4,3,343,Potential Loyalist
EM-13960,152,6,933.704,2,1,1,211,Others/Standard
EM-14065,48,6,228.99,4,1,1,411,Others/Standard
EM-14095,114,10,1041.0420000000001,2,2,2,222,Others/Standard
EM-14140,49,21,4588.436000000001,4,5,5,455,VIP / Champions
EM-14200,159,4,366.822,2,1,1,211,Others/Standard
EN-13780,288,9,2199.366,1,2,3,123,Lost / Hibernating
EP-13915,13,31,5478.0608,5,5,5,555,VIP / Champions
ER-13855,422,5,1245.788,1,1,2,112,Lost / Hibernating
ES-14020,41,8,3510.4579999999996,4,2,4,424,Loyal Customers
ES-14080,29,20,4657.924,4,5,5,455,VIP / Champions
FA-14230,98,17,2984.054,3,4,4,344,Potential Loyalist
FC-14245,71,14,3418.742,3,4,4,344,Potential Loyalist
FC-14335,185,10,3889.366,2,2,4,224,Others/Standard
FG-14260,35,11,1383.144,4,3,2,432,Loyal Customers
FH-14275,38,21,4256.272,4,5,4,454,VIP / Champions
FH-14350,213,14,2271.284,2,4,3,243,At Risk
FH-14365,6,13,6987.196,5,3,5,535,Loyal Customers
FM-14215,8,15,2456.638,5,4,3,543,Loyal Customers
FM-14290,37,20,3736.198,4,5,4,454,VIP / Champions
FM-14380,146,14,2523.266,2,4,3,243,At Risk
FO-14305,39,15,2678.438,4,4,3,443,Loyal Customers
FP-14320,24,14,4046.746,5,4,4,544,VIP / Champions
FW-14395,363,3,79.75,1,1,1,111,Lost / Hibernating
GA-14515,150,14,3919.7760000000003,2,4,4,244,At Risk
GA-14725,6,22,1398.382,5,5,2,552,Loyal Customers
GB-14530,63,20,1568.44,3,5,2,352,Potential Loyalist
GB-14575,14,16,4716.288,5,4,5,545,VIP / Champions
GD-14590,6,6,1888.07,5,1,3,513,Others/Standard
GG-14650,44,24,2224.0,4,5,3,453,Loyal Customers
GH-14410,76,17,2819.4669999999996,3,4,4,344,Potential Loyalist
GH-14425,51,10,4172.8460000000005,4,2,4,424,Loyal Customers
GH-14485,388,3,1361.2440000000001,1,1,2,112,Lost / Hibernating
GH-14665,3,3,146.94080000000002,5,1,1,511,Others/Standard
GK-14620,113,14,6497.27,2,4,5,245,At Risk
GM-14440,84,11,3582.8199999999997,3,3,4,334,Potential Loyalist
GM-14455,17,12,3078.624,5,3,4,534,Loyal Customers
GM-14500,107,13,1255.682,2,3,2,232,Others/Standard
GM-14680,153,11,3163.628,2,3,4,234,Others/Standard
GM-14695,118,11,6049.966,2,3,5,235,Others/Standard
GP-14740,766,5,236.53,1,1,1,111,Lost / Hibernating
GR-14560,1136,5,1284.38,1,1,2,112,Lost / Hibernating
GT-14635,57,6,9351.212,3,1,5,315,Others/Standard
GT-14710,37,29,11820.119999999999,4,5,5,455,VIP / Champions
GT-14755,35,7,226.436,4,1,1,411,Others/Standard
GW-14605,29,9,2189.019,4,2,3,423,Loyal Customers
GZ-14470,8,14,4355.150000000001,5,4,5,545,VIP / Champions
GZ-14545,158,5,2454.6220000000003,2,1,3,213,Others/Standard
HA-14905,70,10,2163.3,3,2,3,323,Others/Standard
HA-14920,21,18,2584.158,5,5,3,553,Loyal Customers
HD-14785,770,7,251.36,1,1,1,111,Lost / Hibernating
HE-14800,13,11,883.5319999999999,5,3,1,531,Loyal Customers
HF-14995,22,19,2533.1639999999998,5,5,3,553,Loyal Customers
HG-14845,55,10,785.628,3,2,1,321,Others/Standard
HG-14965,24,17,3247.642,5,4,4,544,VIP / Champions
HG-15025,7,11,3690.284,5,3,4,534,Loyal Customers
HH-15010,73,6,218.668,3,1,1,311,Others/Standard
HJ-14875,127,6,358.1,2,1,1,211,Others/Standard
HK-14890,152,15,4877.784,2,4,5,245,At Risk
HL-15040,44,11,12873.297999999999,4,3,5,435,Loyal Customers
HM-14860,3,20,8236.7648,5,5,5,555,VIP / Champions
HM-14980,248,7,736.276,1,1,1,111,Lost / Hibernating
HP-14815,31,10,1990.314,4,2,3,423,Loyal Customers
HR-14770,14,13,1299.288,5,3,2,532,Loyal Customers
HR-14830,160,14,5248.787,2,4,5,245,At Risk
HW-14935,118,20,9300.254,2,5,5,255,At Risk
HZ-14950,36,6,886.52,4,1,1,411,Others/Standard
IG-15085,72,7,744.574,3,1,1,311,Others/Standard
IL-15100,143,14,5040.736,2,4,5,245,At Risk
IM-15055,410,4,2872.63,1,1,4,114,Lost / Hibernating
IM-15070,391,21,4930.474,1,5,5,155,At Risk
JA-15970,93,24,6491.026,3,5,5,355,Potential Loyalist
JB-15400,8,16,1791.605,5,4,3,543,Loyal Customers
JB-15925,738,8,900.552,1,2,1,121,Lost / Hibernating
JB-16000,44,7,644.1188,4,1,1,411,Others/Standard
JB-16045,8,9,2518.115,5,2,3,523,Loyal Customers
JC-15340,115,4,71.263,2,1,1,211,Others/Standard
JC-15385,176,4,1058.108,2,1,2,212,Others/Standard
JC-15775,159,16,2772.055,2,4,4,244,At Risk
JC-16105,58,9,858.576,3,2,1,321,Others/Standard
JD-15790,118,7,2152.352,2,1,3,213,Others/Standard
JD-15895,395,32,7610.8640000000005,1,5,5,155,At Risk
JD-16015,113,11,385.43,2,3,1,231,Others/Standard
JD-16060,301,6,695.442,1,1,1,111,Lost / Hibernating
JD-16150,42,17,8828.0305,4,4,5,445,VIP / Champions
JE-15475,194,13,1388.682,2,3,2,232,Others/Standard
JE-15610,49,20,7754.976,4,5,5,455,VIP / Champions
JE-15715,47,22,8697.842999999999,4,5,5,455,VIP / Champions
JE-15745,52,23,6760.8150000000005,4,5,5,455,VIP / Champions
JE-16165,21,7,2697.248,5,1,3,513,Others/Standard
JF-15190,66,19,2279.5860000000002,3,5,3,353,Potential Loyalist
JF-15295,226,14,955.124,1,4,1,141,At Risk
JF-15355,106,16,1911.844,2,4,3,243,At Risk
JF-15415,3,14,2371.448,5,4,3,543,Loyal Customers
JF-15490,122,15,1082.918,2,4,2,242,At Risk
JF-15565,55,16,4198.332,3,4,4,344,Potential Loyalist
JG-15115,759,7,2358.676,1,1,3,113,Lost / Hibernating
JG-15160,2,18,6366.392,5,5,5,555,VIP / Champions
JG-15310,3,11,2240.58,5,3,3,533,Loyal Customers
JG-15805,224,9,1507.018,2,2,2,222,Others/Standard
JH-15430,6,7,309.281,5,1,1,511,Others/Standard
JH-15820,175,8,528.91,2,2,1,221,Others/Standard
JH-15910,42,9,959.477,4,2,1,421,Loyal Customers
JH-15985,30,14,7954.9980000000005,4,4,5,445,VIP / Champions
JH-16180,405,5,2256.3940000000002,1,1,3,113,Lost / Hibernating
JJ-15445,484,6,709.178,1,1,1,111,Lost / Hibernating
JJ-15760,754,3,195.0,1,1,1,111,Lost / Hibernating
JK-15205,62,13,4427.142,3,3,5,335,Potential Loyalist
JK-15325,288,4,383.812,1,1,1,111,Lost / Hibernating
JK-15370,45,17,2709.632,4,4,3,443,Loyal Customers
JK-15625,62,12,3760.028,3,3,4,334,Potential Loyalist
JK-15640,181,12,4760.434,2,3,5,235,Others/Standard
JK-15730,85,20,4867.2,3,5,5,355,Potential Loyalist
JK-16090,29,9,3747.668,4,2,4,424,Loyal Customers
JK-16120,118,17,2932.484,2,4,4,244,At Risk
JL-15130,9,12,1214.956,5,3,2,532,Loyal Customers
JL-15175,7,7,1571.523,5,1,2,512,Others/Standard
JL-15235,120,10,2203.7,2,2,3,223,Others/Standard
JL-15505,50,17,3173.874,4,4,4,444,VIP / Champions
JL-15835,22,34,9799.923,5,5,5,555,VIP / Champions
JL-15850,615,11,2725.256,1,3,3,133,Lost / Hibernating
JM-15250,38,19,3159.1220000000003,4,5,4,454,VIP / Champions
JM-15265,38,13,1804.146,4,3,3,433,Loyal Customers
JM-15535,103,10,1733.443,3,2,2,322,Others/Standard
JM-15580,1,7,303.948,5,1,1,511,Others/Standard
JM-15655,9,12,864.947,5,3,1,531,Loyal Customers
JM-15865,110,13,7625.076000000001,2,3,5,235,Others/Standard
JM-16195,58,19,2833.9260000000004,3,5,4,354,Potential Loyalist
